ds,yhat,yhat_lower,yhat_upper
2023-01-01,71.6618917174849,19.224172432642117,123.22409289417043
2023-01-02,75.83368036280713,20.450254877650806,129.90190290777656
2023-01-03,71.66736432908316,16.994447212048662,126.97599861218704
2023-01-04,73.40457810186956,13.133094869639793,128.65921892865694
2023-01-05,80.4991112111673,23.65001916122149,132.41271012550396
2023-01-06,107.24720522441095,54.87236806559001,159.72178200678522
2023-01-07,114.57988648688129,58.34085676093214,164.95072788153607
2023-01-08,78.2863677621449,26.983563428958316,132.65388245961412
2023-01-09,82.51283161526474,31.136241027481194,138.4910832481195
2023-01-10,78.27840915920036,22.525286412793836,130.97149765892647
2023-01-11,79.87484930425849,23.40127065660376,129.7032155218924
2023-01-12,86.75789121126026,33.10401488861155,142.76147940994508
2023-01-13,113.27753905850332,56.07202734958974,166.69447162056696
2023-01-14,120.24015768723775,64.89778724673057,174.42818969968005
2023-01-15,83.36205927078471,31.836083774725275,138.75008215572217
2023-01-16,87.08291215019572,31.958726014581075,138.95029345745397
2023-01-17,82.26756196451977,27.14166127610213,136.85010894778029
2023-01-18,83.26746712846243,27.85934993472811,135.69039440065237
2023-01-19,89.54856354781165,35.753143215149535,145.9272239964927
2023-01-20,115.52134038248364,62.616244273222016,167.4102991348791
2023-01-21,121.87256229122292,65.79191153121117,175.13725205897046
2023-01-22,84.2489394775684,29.738538897613385,139.2748144818357
2023-01-23,87.38510840610687,32.71367825820095,138.37675507845657
2023-01-24,81.99128890493184,24.770736183158913,134.52808175907822
2023-01-25,82.47651669240841,29.781972096857494,133.67117206123314
2023-01-26,88.31307911058913,34.10238387813413,140.71917299214095
2023-01-27,113.96650989619873,61.422151299280834,169.8749713671361
2023-01-28,119.99709336540496,69.58082918014034,172.00340077374693
2023-01-29,81.97380765524287,31.955587096259023,135.4056715025294
2023-01-30,84.91709317158731,30.400646578987313,142.93847581189326
2023-01-31,79.37258483709266,28.033921210205712,136.47445753104665
2023-02-01,79.79639620113852,23.014119501087713,138.79258735921437
2023-02-02,85.65638969780096,32.06733396557885,145.2042838523474
2023-02-03,111.46235598627347,62.049143675320764,165.03890618421931
2023-02-04,117.63756078617185,64.8025319757879,174.16090106886463
2023-02-05,79.66321048618124,23.073455052930406,134.03491100255982
2023-02-06,82.83623968520173,28.719532743320087,136.48616789268902
2023-02-07,77.52932644264367,23.753437109804455,134.12164607315754
2023-02-08,78.2384071914593,28.582708751405182,135.04047935097913
2023-02-09,84.42092804791768,31.021859210402525,140.33219361417446
2023-02-10,110.62631923555693,55.91847259670583,163.29317925422492
2023-02-11,117.13765693212164,63.17962593886914,168.75802345303669
2023-02-12,79.34668423896686,26.17627103945363,136.5415999282729
2023-02-13,82.82661140179896,29.43052364133873,136.5144374480175
2023-02-14,77.77836944518761,25.174548822010838,127.65015574638721
2023-02-15,78.74027486413938,25.013386449244777,129.3983238974602
2023-02-16,85.16314780367547,32.68349238751855,142.56585775870406
2023-02-17,111.64093800625419,60.93424698946304,166.1080113744405
2023-02-18,118.32233340498541,65.23236290824315,168.97054519027063
2023-02-19,80.51614877702988,27.80515323791601,133.42201166247406
2023-02-20,84.07893700934238,31.648863155202168,140.29480367866256
2023-02-21,79.04727183575633,27.367178998343746,133.02196812418651
2023-02-22,80.00935101414812,29.635653147267174,134.2969624907574
2023-02-23,86.41677433660452,35.261723459134224,141.5120077626851
2023-02-24,112.91512385619959,58.790351902692976,168.41174566129814
2023-02-25,119.52533727596527,68.29667936568002,172.91714112480653
2023-02-26,81.47930189613695,32.63759910272002,138.14856475554853
2023-02-27,84.92213873246033,31.2190856438774,136.19282894001026
2023-02-28,79.73040352445675,26.193767743446593,133.43675325769715
2023-03-01,80.5455467869926,27.75670564938754,130.83388771070463
2023-03-02,86.82230136510826,28.733848322839652,140.4366352655588
2023-03-03,113.259198119606,58.98235778510843,166.33248815065946
2023-03-04,119.74971642599422,64.6262562788157,173.74606887010248
2023-03-05,81.44812554249485,27.56708541459606,132.70621909865875
2023-03-06,84.7865111165979,32.09486609054567,139.22951599497972
2023-03-07,79.4789886524771,24.930873847222344,135.31902683980638
2023-03-08,80.2171353895504,22.890630172381183,133.12130038237234
2023-03-09,86.45511901116784,35.71763034141492,138.73166241422345
2023-03-10,112.94029241589837,61.10672147574343,164.22378460692138
